question,reference,prediction,topic,rougeL,ref_len,pred_len,len_ratio
Điện tâm đồ có hiệu quả như thế nào trong việc chẩn đoán bệnh cơ tim phì đại?,Điện tâm đồ là bất thường ở 90% bệnh nhân bị cơ tim phì đại.,"Điện tâm đồ là một bản ghi lại hoạt động điện của tim, giúp xác định xem có bất thường trong dẫn truyền điện, dày lên hoặc có tổn thương cơ tim hay không.",1,0.3287671232876712,15,34,2.2666666665155555
Loại thuốc nào thường được sử dụng để giảm đau ngón tay cái bị thoái hóa?,Thuốc giảm đau và chống viêm dạng uống hoặc bôi ngoài da là loại thuốc thường được sử dụng để điều trị đau ngón tay cái do thoái hóa.,"Thuốc giảm đau, chống viêm dạng uống, hoặc bôi ngoài da.",1,0.6060606060606061,29,11,0.37931034481450654
Mức độ nặng của bệnh tăng sản lành tính tuyến tiền liệt được xác định như thế nào?,Mức độ nặng của bệnh tăng sản lành tính tuyến tiền liệt được xác định khi tổng điểm của thang điểm triệu chứng bệnh tăng sản lành tính tuyến tiền liệt của Hiệp hội tiết niệu Hoa Kỳ từ 20 đến 35 điểm.,Mức độ nặng của bệnh tăng sản lành tính tuyến tiền liệt được xác định từ 20  35.,1,0.5631067961165048,43,18,0.41860465115305573
"Trong ứng dụng chữa bệnh, cây thuốc dòi thường được dùng để làm gì?","Cây thuốc dòi thường được dùng để chữa ho, tiêu đờm, lợi tiểu, tiêu viêm, trừ mủ, tan độc, tiêu sưng.","Cây thuốc dòi thường được dùng để chữa ho lâu ngày, viêm họng, tiểu tiện bí, nóng sốt khát nước, tắc tia sữa, chữa răng đau sâu răng bằng cách giã nát lá nhét vào chỗ sâu đau, đắp mụn nhọt, vết bỏng, trừ mủ, tan độc, tiêu sưng.",3,0.5043478260869565,21,49,2.3333333332222224
Người bệnh cần quay lại tái khám trường hợp nào không?,"- Các triệu chứng kém cải thiện, xuất hiện lại.","Người bệnh cần quay lại tái khám khi các triệu chứng kém cải thiện, xuất hiện lại, đau bụng nhiều hơn, tăng khi ho rặn mạnh, nhất là đau bụng hố chậu phải.",1,0.4736842105263158,10,33,3.29999999967
Tại sao phương pháp nội soi bằng viên nang lại là phương pháp tiên tiến nhất để chẩn đoán ung thư ruột non?,"Nội soi bằng viên nang là phương pháp tiên tiên, không gây khó chịu cho người bệnh. Viên nang có thể quay toàn bộ cảnh hành trình của nó trong suốt đường ruột bệnh nhân. Đây là phương pháp khảo sát tiên tiến nhất, không tốn thời gian và không cần nhập viện.","Phương pháp nội soi bằng viên nang là phương pháp tiên tiến nhất vì nó thu nhỏ, kích thước to hơn viên thuốc nang bình thường.",1,0.40909090909090906,53,26,0.49056603772659313
Phổi đóng góp vào cân bằng nội môi axit bằng cách nào?,Phổi điều chỉnh nồng độ carbon dioxide (CO2).,Phổi đóng góp vào cân bằng nội môi axit bằng cách điều chỉnh nồng độ carbon dioxide (CO2).,0,0.5499999999999999,8,18,2.24999999971875
Các nghiên cứu đã ghi nhận tác dụng gì của Kim tiền thảo đối với sỏi túi mật?,"Một số nghiên cứu đã ghi nhận tác dụng chống viêm, chống oxy hóa và tăng sự tiết mật của Kim tiền thảo. Những tác dụng này giúp giảm hình thành sỏi cholesterol trong túi mật.","Các nghiên cứu đã ghi nhận tác dụng chống viêm, chống oxy hóa và tăng sự tiết mật.",3,0.608695652173913,36,18,0.49999999998611117
Đâu là dấu hiệu và triệu chứng xuất hiện khi bệnh tiến triển hơn?,"Các dấu hiệu và triệu chứng của ung thư cổ tử cung giai đoạn tiên tiến hơn bao gồm: phù chân, vấn đề liên quan đến đi tiểu hoặc đường ruột, và tiểu máu.","Phù chân, vấn đề liên quan đến đi tiểu hoặc đường ruột, tiểu máu.",1,0.5753424657534247,34,14,0.4117647058702423
Cây so đũa có chế biến đặc biệt gì trước khi dùng không?,Không.,"Không, cây so đũa không có chế biến đặc biệt nào trước khi dùng.",3,0.16666666666666669,1,14,13.999999985999999
Khi nào tình trạng tán huyết trở nên nguy hiểm?,"Tình trạng tán huyết trở nên nguy hiểm khi diễn ra cấp tính, chẳng hạn như truyền nhầm nhóm máu, sử dụng thực phẩm hoặc thuốc có tính oxy hóa cao ở người bị thiếu men G6DP.",Tình trạng tán huyết trở nên nguy hiểm hơn trong tình huống cấp tính.,1,0.49411764705882355,37,14,0.37837837836815197
Tưởng tượng phù hợp với tâm trạng có đặc điểm gì?,Tưởng tượng phù hợp với tâm trạng là loại tưởng tượng có nội dung phù hợp với tâm trạng của một người.,"Tưởng tượng phù hợp với tâm trạng có đặc điểm là người thân không yêu thương mình, có âm mưu muốn hại mình hoặc một người ở trạng thái hưng cảm có thể nghĩ rằng họ là một vị thần có sức mạnh phi thường.",1,0.49557522123893805,22,45,2.0454545453615705
Những biến chứng thường gặp của bệnh tăng huyết áp vô căn nguyên phát là gì?,"Các biến chứng thường gặp của bệnh tăng huyết áp vô căn nguyên phát bao gồm tổn thương thận, ảnh hưởng đến chức năng của tim, đột quỵ và biến chứng lên mắt.","Những biến chứng thường gặp của bệnh tăng huyết áp vô căn nguyên phát bao gồm: Tổn thương thận, gây suy thận cấp, ảnh hưởng đến chức năng của tim, đột quỵ, biến chứng lên mắt, biến chứng lên mắt, biến chứng lên mắt, biến chứng lên mắt, biến chứng lên mắt, biến chứng lên mắt, biến chứng lên mắt, biến chứng lên mắt, biến chứng lên mắt, biến chứng lên mắt, biến chứng lên mắt, biến chứng lên mắt, biến chứng lên mắt, biến chứng lên mắt, biến chứng lên mắt, biến chứng lên mắt, biến chứng lên mắt, biến chứng lên mắt,",1,0.42187500000000006,33,104,3.1515151514196513
Có mối liên quan nào giữa hội chứng Colic và trầm cảm sau sinh ở mẹ không?,"Có, nghiên cứu cho thấy có sự liên quan giữa hội chứng Colic và các vấn đề sau ở bố mẹ, trong đó có tăng nguy cơ trầm cảm sau sinh ở mẹ.","Có, tăng nguy cơ trầm cảm sau sinh ở mẹ.",1,0.45283018867924524,33,10,0.30303030302112033
Động mạch nào cung cấp máu cho phía sau của não?,Các động mạch đốt sống.,Động mạch cảnh trong cung cấp máu cho phía sau của não.,0,0.22222222222222218,5,12,2.39999999952
Cách dùng Xuyên tâm liên để trị viêm họng như thế nào?,Dùng vài lá nhai và ngậm.,"Để trị viêm họng, có thể dùng vài lá Xuyên tâm liên, nhai và ngậm.",3,0.5806451612903226,6,15,2.4999999995833333
Cách thực hiện bảo quản Tục đoạn bằng muối như thế nào?,"Đầu tiên, hòa tan 0,2 kg muối vào khoảng 0,5 lít nước. Sau đó, phun hỗn hợp nước muối này vào Tục đoạn và ủ trong khoảng thời gian từ 30 phút đến 1 giờ để nước muối thấm vào bên trong. Cuối cùng, sao Tục đoạn ở nhiệt độ vừa phải cho đến khi khô.","Hòa tan muối vào khoảng 0,5 lít nước vào lõi trong 30 phút đến 1 giờ. Sao ở nhiệt độ vừa phải đến khô.",3,0.559322033898305,56,24,0.42857142856377556
Trẻ em nên làm gì khi ho hay hắt hơi để phòng bệnh tay chân miệng?,Che miệng bằng khăn giấy hoặc khuỷu tay.,"Cho trẻ biết không nên đưa ngón tay, bàn tay hoặc bất cứ thứ gì vào miệng để phòng bệnh tay chân miệng.",1,0.24489795918367346,8,23,2.874999999640625
"Trong Dành dành, chất nào tạo nên màu vàng?",Glucoside màu vàng.,"Trong Dành dành, glucoside màu vàng tạo nên màu vàng.",3,0.4347826086956522,3,10,3.3333333322222223
Lớp sụn sợi có vai trò gì trong hệ thống phế quản?,Giúp đảm nhận tốt vai trò dẫn khí.,"Lớp sụn sợi có vai trò tạo nên hình dạng ổn định cho phế quản, giúp đảm nhận tốt vai trò dẫn khí.",0,0.5106382978723404,8,23,2.874999999640625
Thành phần hóa học của lá cây Nổ gai là gì?,Lá cây Nổ gai chứa viroallosecurinin.,"Lá cây Nổ gai chứa viroallosecurinin, với hàm lượng 0,6  1% gồm flueggeine, virosin, norsecurinin, dihydronorsecurinin.",3,0.5161290322580645,6,16,2.666666666222222
Việc sử dụng thuốc quá liều Algelstad có thể dẫn đến hậu quả gì?,"Táo bón, tắc ruột và trong trường hợp nặng hơn là sỏi thận.",Sử dụng liều cao kéo dài hoặc bị suy thận có thể dẫn đến sự tích lũy nhôm đặc biệt ở các mô thần kinh và xương.,2,0.2857142857142857,13,27,2.076923076763314
Chất lượng giấc ngủ có liên quan đến điều gì?,Chất lượng giấc ngủ có liên quan đến các rối loạn giấc ngủ khác bao gồm rối loạn giấc ngủ liên quan đến hô hấp.,Chất lượng giấc ngủ có liên quan đến hô hấp.,1,0.5454545454545454,25,10,0.399999999984
Những trường hợp nào chống chỉ định sử dụng dịch truyền Alvesin?,"Những trường hợp bị dị ứng với các acid amin trong dịch truyền hoặc với bất kỳ thành phần nào khác có trong thuốc, người bị rối loạn chuyển hóa acid amin là những người không được phép dùng Alvesin.","Những trường hợp bị dị ứng với các acid amin có trong dịch truyền hoặc với bất kỳ thành phần nào khác có trong thuốc, người bị rối loạn chuyển hóa acid amin bẩm sinh, người bị suy tuần hoàn nặng, có thể đe dọa tính mạng, người bị nhiễm acid chuyển hóa hoặc không cung cấp đủ oxy do giảm oxy máu, bệnh nhân mắc bệnh gan tiến triển hoặc suy thận nặng nhưng không điều trị bằng thẩm phân hoặc lọc máu, có nồng độ cao bất thường trong huyết tương của bất kỳ chất điện giải nào có trong thuốc, trẻ em dưới 2 tuổi không được sử dụng thuốc này.",2,0.49600000000000005,40,114,2.8499999999287504
Trên vi khuẩn nào thuốc Phật thủ không có tác dụng kháng?,"Các vi khuẩn gram âm (Pseudomonas, Escherichia coli)","Thuốc Phật thủ không có tác dụng kháng trên các vi khuẩn gram dương như Pseudomonas, Escherichia coli.",3,0.4736842105263158,8,18,2.24999999971875
Tại sao chị em phụ nữ nên khám phụ khoa định kỳ?,"Ngay cả khi không có triệu chứng, vùng kín vẫn có những nguy cơ tiềm ẩn, ví dụ như nhiễm HPV dai dẳng. Vì vậy, chị em phụ nữ nên khám phụ khoa định kỳ ít nhất mỗi năm 1 lần để đánh giá các nguy cơ này.","Để đánh giá các nguy cơ tiềm ẩn, ví dụ như nhiễm HPV dai dẳng.",1,0.38095238095238093,48,15,0.3124999999934896
"Khi điều trị bệnh viêm da dầu, điều gì là quan trọng?",Giữ ẩm cho da.,Giữ ẩm cho da là một trong những biện pháp hữu hiệu và cần làm thường xuyên.,1,0.25806451612903225,4,17,4.2499999989375
Ung thư hậu môn được điều trị bằng các phương pháp nào?,"Các phương pháp điều trị ung thư hậu môn bao gồm phẫu thuật, hóa trị và xạ trị. Việc lựa chọn phương pháp điều trị cụ thể sẽ tùy thuộc vào tình trạng bệnh của bệnh nhân.","Ung thư hậu môn được điều trị bằng các phương pháp hóa, xạ trị.",1,0.3333333333333333,37,14,0.37837837836815197
Mục đích trồng cây Mộc hương để làm gì?,Cây Mộc hương được trồng để làm thuốc.,Để làm thuốc.,3,0.47058823529411764,8,3,0.374999999953125
Điện não đồ có ý nghĩa gì trong chẩn đoán rối loạn giấc ngủ?,"Điện não đồ có ý nghĩa trong chẩn đoán rối loạn giấc ngủ vì nó có thể phát hiện bất kỳ vấn đề tiềm ẩn nào liên quan đến các hoạt động điện não trong khi ngủ, giúp bác sĩ chẩn đoán được nguyên nhân gây rối loạn giấc ngủ.",Điện não đồ giúp phát hiện bất kỳ vấn đề tiềm ẩn nào liên quan đến những hoạt động điện này.,1,0.5504587155963303,50,21,0.41999999999160004
"Trong quá trình kiểm tra biểu đồ tư thế, người bệnh cần thực hiện hành động gì?",Đứng vững trên một loại bục di chuyển.,"Khi kiểm tra biểu đồ tư thế, người bệnh sẽ được mang một loại dây nịt an toàn và cố gắng đứng vững trên một loại bục di chuyển.",1,0.4827586206896552,8,29,3.624999999546875
Tại sao trẻ em không được sử dụng Carflem?,Vì trẻ em có thể sử dụng sai cách.,Trẻ em không được sử dụng Carflem vì thuốc có thể gây ra các tác dụng phụ nghiêm trọng cho trẻ.,2,0.34146341463414637,9,21,2.333333333074074
Nguyên nhân suy tuyến yên do miễn dịch thường gặp ở đối tượng nào?,Phụ nữ mang thai hoặc sau sinh.,Suy tuyến yên do miễn dịch thường gặp ở phụ nữ mang thai hay sau sinh.,1,0.4137931034482759,7,16,2.2857142853877552
Tâm sen thường được sử dụng trong y học cổ truyền Trung Quốc để làm gì?,Để làm se và cầm máu.,Tâm sen thường được sử dụng để làm thực phẩm bên cạnh việc làm thuốc.,3,0.30303030303030304,6,15,2.4999999995833333
Tích dương được xếp vào nhóm nào?,Tích dương là một loại cây sống ký sinh nên hay được gọi là nấm.,Tích dương được xếp vào nhóm nấm.,3,0.3783783783783784,15,7,0.46666666663555556
Biseptol được bào chế dưới dạng nào?,"Thuốc được bào chế dưới dạng viên nén, mỗi hộp gồm 1 vỉ x 20 viên.",Biseptol được bào chế dưới dạng viên nén.,2,0.6153846153846155,16,8,0.49999999996875
Tiêu chuẩn chẩn đoán Lupus bao gồm những gì?,"Tiêu chuẩn chẩn đoán Lupus bao gồm các tiêu chuẩn lâm sàng và tiêu chuẩn miễn dịch. Tiêu chuẩn lâm sàng bao gồm sốt, ban đỏ dạng cánh bướm ở hai bên má và sống mũi, ban đỏ hay loét ở bàn tay, ngón tay, ban đỏ hình đĩa trên thân mình, nhạy cảm ánh sáng, viêm đa khớp, viêm thanh mạc, tổn thương trên da do nhiễm virus herpes, giảm bạch cầu, giảm tiểu cầu, tăng hồng cầu lưới. Tiêu chuẩn miễn dịch bao gồm kháng thể kháng nhân (ANA), kháng thể kháng DNA sợi kép (anti-dsDNA), kháng thể kháng cardiolipin (aCL), kháng thể kháng tế bào bạch cầu trung tính (ANCA) dương tính.",Tiêu chuẩn chẩn đoán Lupus bao gồm 4 tiêu chuẩn: 1 tiêu chuẩn lâm sàng và 1 tiêu chuẩn miễn dịch.,1,0.29596412556053814,115,21,0.18260869565058602
Liều dùng bụp giấm như thế nào là an toàn?,Không nên dùng quá 2gr/ngày.,"Bạn không nên dùng Bụp giấm quá 2gr/ngày, vì trong đó có chứa một số thành phần hoạt chất có thể ảnh hưởng đến sức khỏe thai nhi và trẻ nhỏ.",3,0.3508771929824561,5,31,6.19999999876
Acid uric có nguồn gốc như thế nào?,"Acid uric có nguồn gốc nội sinh và ngoại sinh. Nguồn gốc nội sinh là khi các tế bào trong cơ thể bị chết đi, nhân của những tế bào ấy sẽ bị phân hủy và chuyển hóa thành Acid uric. Nguồn gốc ngoại sinh là Acid uric có trong thức ăn như thịt, cá hoặc những đường chuyển hóa khác.","Acid uric có nguồn gốc từ thức ăn như thịt, cá hoặc những đường chuyển hóa khác thì đó là Acid uric ngoại sinh.",0,0.42276422764227634,61,24,0.3934426229443698
Khi nào thì người nữ mắc viêm âm đạo do vi khuẩn dễ lây lan bệnh nhất?,"Khi người nữ có bạn tình mới, không dùng bao cao su, hoặc thụt rửa âm đạo.",Người nữ mắc viêm âm đạo do vi khuẩn dễ lây lan bệnh nhất khi tình trạng mất cân bằng giữa vi khuẩn có lợi và vi khuẩn có hại tự nhiên trong âm đạo.,1,0.32911392405063294,17,35,2.0588235292906574
Tại sao không được uống gấp đôi liều Acenocoumarol 4 mg nếu quên liều?,Để tránh tác dụng không mong muốn.,Uống gấp đôi liều Acenocoumarol 4 mg nếu quên liều có thể gây ra tác dụng không mong muốn.,2,0.43902439024390244,7,19,2.7142857138979593
Ai có trách nhiệm thông báo cho bác sĩ về các tác dụng không mong muốn gặp phải khi sử dụng thuốc Agi-Calci?,Người sử dụng thuốc Agi-Calci.,Bác sĩ sẽ thông báo cho bác sĩ về các tác dụng không mong muốn gặp phải khi sử dụng thuốc Agi-Calci để được xử trí kịp thời.,2,0.3461538461538462,5,28,5.5999999988799996
Có thể dùng thuốc Betex không nếu đang mang thai hoặc cho con bú?,Phụ women đang mang thai hoặc cho con bú có thể dùng thuốc Betex nhưng cần tham khảo đơn thuốc từ bác sĩ. Nhà cung ứng không chịu trách nhiệm với các hậu quả do dùng thuốc mà không có hướng dẫn của bác sĩ hoặc dược sĩ.,"Không, phụ nữ đang mang thai và cho con bú chỉ nên sử dụng thuốc Betex khi thật cần thiết.",2,0.3232323232323232,48,20,0.41666666665798613
Sử dụng quá liều Ampicillin Brawn có thể dẫn đến hậu quả gì?,"Sử dụng quá liều Ampicillin Brawn có thể dẫn đến tình trạng phải ngưng dùng thuốc ngay và đến cơ sở y tế gần nhất để kiểm tra, theo dõi và xử lý kịp thời.",Sử dụng quá liều Ampicillin Brawn có thể dẫn đến tử vong.,2,0.43749999999999994,35,12,0.342857142847347
Tinh dầu quế có những thành phần chính nào?,"Tinh dầu quế có thành phần chính là aldehyd cinnamic, coumarin, cinnamyl acetat, eugenol, linalool, limonene, alpha-terpineon, camphor,...","Tinh dầu quế có các thành phần chính là: flavonoid cinnamic, cinnamyl acetat (10,5%), cinnamyl acetat (1,2%), benzadehyd, acol cinnamic, eugenyl acetat (0,6%), coumarin (1,2%), benzadehyd, acol cinnamic, eugenyl acetat (0,6%), coumarin (1,2%), benzadehyd, acol cinnamic, eugenyl acetat (0,6%), coumarin (1",3,0.3947368421052632,18,41,2.2777777776512345
Trong tình huống nào thì chúng ta nên đo nhịp tim?,"Bạn nên đo nhịp tim ở trạng thái nghỉ ngơi, tức là sau khi bạn tránh không vận động hay mới thức dậy.",Chúng ta nên đo nhịp tim khi đang nghỉ ngơi.,1,0.36,23,10,0.43478260867674856
Khi nào nên sử dụng rễ sương sâm để chữa đau họng?,"Khi bị đau họng, người bệnh có thể sử dụng rễ sương sâm để giảm đau, kháng viêm.","Rễ sương sâm được sử dụng để chữa đau họng khi bị đau họng, đau lưng, đau dạ dày, tiêu chảy, kiết lỵ, các bệnh về gan, trĩ, đau răng và các tổn thương do té ngã.",3,0.30379746835443033,18,37,2.055555555441358
Những phương pháp nào được áp dụng để điều trị liệt dương?,"Phương pháp điều trị liệt dương bao gồm: thay thế testosterone, điều trị khối u tuyến yên, cai nghiện ma túy, kiểm soát trao đổi chất, sử dụng thuốc hoạt tính như Papaverine, làm dương vật giả, kết hợp một số thuốc theo toa như Avanafil, Alprostadil, Sildenafil.",Điều trị liệt dương do thiểu năng sinh dục là thay thế testosterone bằng đường tiêm.,1,0.28571428571428575,48,16,0.3333333333263889
Ráy tai có những màu nào?,"Ráy tai có màu vàng, nâu hoặc đỏ đậm nếu ráy tai bị ướt hoặc màu đen nếu ráy tai cứng và khô (phổ biến ở những người lớn tuổi).","Ráy tai là chất màu vàng, nâu hoặc đỏ đậm.",0,0.4,30,10,0.3333333333222222
"Ở nước ta, quế trồng ở những vùng nào?","Ở nước ta, Quế phân bố hầu khắp các vùng trên cả nước. Tuy nhiên, phải kể đến bốn vùng trồng quế tập trung là Yên Bái, Quảng Ninh, Thanh Hóa – Nghệ An và Quảng Nam – Quảng Ngãi.","Ở nước ta, quế phân bố hầu khắp các vùng trên cả nước.",3,0.5128205128205129,40,13,0.324999999991875
Nhiệt độ tối ưu để bảo quản thuốc Berberin là bao nhiêu?,Dưới 30 độ C.,Nhiệt độ bảo quản tốt nhất là dưới 30 oC.,2,0.31578947368421056,4,10,2.499999999375
Phụ nữ mang thai trong giai đoạn nào được khuyến cáo không nên dùng Beatil?,3 tháng giữa và 3 tháng cuối thai kỳ.,Nhà sản xuất không khuyến cáo sử dụng Beatil trên phụ nữ mang thai trong 3 tháng đầu thai kỳ.,2,0.2926829268292683,9,20,2.2222222219753087
"Trong dầu Vừng, tỷ lệ các acid đặc và acid lỏng là bao nhiêu?","Trong dầu Vừng, tỷ lệ acid đặc khoảng 12 – 16%, bao gồm 7,7% acid panmitic, 4,6% acid stearic, 0,4% acid arachidic, còn acid lỏng chiếm khoảng 75 – 80%, trong đó có 48% acid oleic, 30% acid linoleic và 0,04% acid lignoxeric.","Trong dầu Vừng, tỷ lệ các acid đặc và acid lỏng là 75  80%.",3,0.42857142857142855,43,14,0.32558139534126557
Liều lượng sử dụng Bình bát để chữa bệnh là bao nhiêu?,"Mỗi lần sử dụng Bình bát để chữa bệnh, nên dùng khoảng 8 - 12g sắc nước uống.",Mỗi lần dùng 8  12 g sắc nước uống.,3,0.5909090909090909,18,9,0.4999999999722222
"Trái lại, nếu mắc xương lớn thì nên làm gì?",Cần gặp bác sĩ để xử lý.,Trường hợp mắc xương lớn thì nên đi gặp bác sĩ để được tư vấn và điều trị phù hợp.,1,0.35897435897435903,7,20,2.857142856734694
Làm thế nào sử dụng B - Sol để đạt hiệu quả như mong đợi?,Bôi một lớp thuốc mỏng lên vùng da cần điều trị từ 1 – 2 lần/ngày. Bạn nên dừng điều trị ngay sau khi đã đạt được hiệu quả mong muốn.,Bạn nên dừng điều trị ngay sau khi đã đạt được hiệu quả mong muốn.,2,0.5970149253731344,31,15,0.48387096772632676
Thuốc Avodart chứa hoạt chất gì?,Thuốc Avodart chứa hoạt chất dutasteride.,"Avodart chứa hoạt chất dutasteride, giúp thu nhỏ tuyến tiền liệt và làm giảm các triệu chứng, làm giảm nguy cơ bí tiểu cấp tính và cần phải phẫu thuật.",2,0.2622950819672131,6,30,4.999999999166667
"Thật không may cho chúng ta, collagen bắt đầu suy giảm theo tuổi tác. Di truyền có thể ảnh hưởng đến tốc độ suy thoái diễn ra. Chúng ta mất đi collagen từ năm này qua năm khác và tạo ra loại có chất lượng thấp hơn được gọi là gì?","Quá trình mà collagen bắt đầu suy giảm theo tuổi tác, di truyền có thể ảnh hưởng đến tốc độ suy thoái diễn ra, gây giảm chất lượng collagen, được gọi là suy thoái collagen.","Thật không may cho chúng ta, collagen bắt đầu suy giảm theo tuổi tác.",0,0.33802816901408445,35,14,0.39999999998857144
Polysacarit trong Bạch truật có tác dụng gì?,"Polysacarit trong Bạch truật có tác dụng thúc đẩy hoạt động thực bào và sản xuất NO, TNF-α và IFN -γ trong đại thực bào; gây ra sự suy giảm chất ức chế kappa B; từ đó kích thích miễn dịch mạnh mẽ.",Polysacarit trong Bạch truật có tác dụng kích thích miễn dịch khá mạnh.,3,0.5060240963855422,43,13,0.30232558138831805
Trong máu có bao nhiêu loại bạch cầu lympho?,Trong máu có ba loại bạch cầu lympho.,"Trong máu có ba loại bạch cầu lympho, đó là: tế bào lympho B, tế bào lympho T và các tế bào giết tự nhiên.",0,0.5217391304347826,8,25,3.124999999609375
Cấu tạo của thuốc Agimycob - Nystatin như thế nào?,Nystatin là loại kháng sinh chống nấm được nuôi cấy từ vi nấm Streptomyces noursei.,"Thuốc Agimycob - Nystatin có tác dụng ức chế hoặc diệt khuẩn, nhạy cảm nhất với nấm men và rất tốt đối với Candida albicans. Nystatin có tác dụng diệt khuẩn tại chỗ (do tiếp xúc).",2,0.23076923076923078,15,36,2.39999999984
Khuyến cáo sử dụng Acepron 250 mg liên tục trong bao nhiêu ngày?,Tối đa 5 ngày.,Khuyến cáo sử dụng Acepron 250 mg liên tục trong 3 ngày.,2,0.25,4,12,2.99999999925
"Khi nghi ngờ con bạn có thể bị Rối loạn thách thức chống đối, bạn nên làm gì?","Khi nghi ngờ con bạn có thể bị mắc Rối loạn thách thức chống đối (ODD), bạn hãy đưa trẻ đi khám ngay nhé.",Đưa trẻ đi khám ngay nhé!,1,0.34146341463414637,24,6,0.24999999998958333
Khi nào thì người ta thu hái dược liệu Khiên ngưu?,"Người ta thu hái dược liệu Khiên ngưu khi quả chín, vào khoảng tháng 7 – 10.","Vào khoảng tháng 7  10, khi quả chín.",3,0.42105263157894735,17,8,0.470588235266436
Làm thế nào để hạn chế tiếp xúc với phấn hoa và nấm mốc khi ra ngoài?,"Để hạn chế tiếp xúc với phấn hoa và nấm mốc khi ra ngoài, bạn nên đóng cửa sổ vào mùa có nhiều phấn hoa, nấm mốc, sử dụng điều hòa không khí và tránh ra ngoài vào những thời điểm này.",Đóng cửa sổ trong mùa có nhiều phấn hoa và nấm mốc.,1,0.36781609195402304,42,12,0.28571428570748303
Phải tránh điều gì khi bảo quản Bạch giới tử?,"Khi bảo quản Bạch giới tử, cần tránh ẩm ướt và mối mọt.","Tránh ẩm, tránh mối mọt.",3,0.4666666666666666,13,5,0.3846153845857988
Bệnh ung thư gan nào thường xảy ra ở trẻ nhỏ dưới 3 tuổi?,Ung thư nguyên bào gan (hepatoblastoma).,"Ung thư nguyên bào gan (hepatoblastoma, từ nguyên bào gan ở trẻ nhỏ, thường dưới 3 tuổi).",1,0.5161290322580645,6,17,2.833333332861111
Triệu chứng bất thường ở máu khi dùng thuốc Cefadroxil có thể là gì?,Dùng Cefadroxil có thể làm tăng bạch cầu ưa eosin trong máu.,"Trong những trường hợp nặng, hiếm gặp các phản ứng phản vệ, sốt, viêm đại tràng giả mạc, ban đỏ đa dạng, các hội chứng rối loạn da nặng, phù mạch, vàng da ứ mật, viêm gan, nhiễm độc thận, co giật (liều cao hoặc suy thận), đau đầu, kích động...",2,0.163265306122449,12,51,4.2499999996458335
Phẫu thuật nào có thể được đề nghị cho một số trẻ sơ sinh nữ có cơ quan sinh dục không điển do tăng sản thượng thận bẩm sinh thể cổ điển?,Phẫu thuật tạo hình cơ quan sinh dục.,Phẫu thuật tái tạo để cải thiện chức năng sinh dục và mang lại vẻ ngoài giống như bình thường.,1,0.43478260869565216,8,20,2.4999999996875
"Các tổ chức y tế khác nhau có khuyến cáo khác nhau về kích thước của nhân giáp cần thực hiện FNAB. Vậy theo bạn, kích thước nào được xem là đủ lớn để chỉ định làm FNAB?","Theo khuyến cáo chung, kích thước nhân giáp đủ lớn để chỉ định làm FNAB là >1 cm. Tuy nhiên, một số tổ chức y tế đưa ra khuyến cáo khác nhau: NCCN khuyến cáo FNAB khi nhân giáp >1 cm rất nghi ngờ trên siêu âm, ≥ 1,5 cm nghi ngờ trung bình trên siêu âm và ≥2,5 cm nghi ngờ ít trên siêu âm; ATA khuyến cáo FNAB cho những nhân giáp >0,5 cm đường kính; ESMO khuyến cáo FNAB cho những nhân giáp >1 cm.",Kích thước của nhân giáp tùy thuộc vào kích thước và đặc điểm ghi nhận trên siêu âm.,1,0.2802547770700637,88,18,0.20454545454313017
Ai cần thận trọng khi sử dụng Azibiotic?,"Người lái xe và vận hành máy móc cần thận trọng khi dùng thuốc vì có thể gặp tác dụng phụ mệt mỏi, đau đầu, chóng mặt, ngủ gà.",Người có bệnh thận và hệ số thanh thải creatinin  40 mL/phút.,2,0.27692307692307694,29,12,0.41379310343400716
Tế bào tinh trùng di chuyển như thế nào từ ống bán nguyệt đến mào tinh?,Qua lưới tinh.,Tế bào tinh trùng di chuyển về phía mào tinh thông qua lưới tinh.,0,0.32,3,14,4.666666665111111
Để tránh gây chít hẹp về sau thì cần khuyến khích trẻ làm gì?,Uống nước để bé đi tiểu thường xuyên.,"Để tránh gây chít hẹp về sau, cần khuyến khích trẻ mặc áo đầm thay cho quần và đeo một cốc nhựa đặt trên dương vật để bảo vệ khu vực vừa mới phẫu thuật.",1,0.1515151515151515,8,35,4.374999999453125
Cách bôi thuốc Begenderm như thế nào?,"Trước khi bôi thuốc, vệ sinh sạch sẽ vùng da cần điều trị và chỉ bôi thuốc lên vùng da bị bệnh.",Thuốc Begenderm sẽ được dùng bằng cách bôi ngoài da.,2,0.36000000000000004,22,10,0.4545454545247934
Trẻ bị mềm sụn thanh quản nên làm gì khi trẻ bị kéo cổ vào sau khi bị đổi tư thế hoặc đánh thức?,Nên đưa trẻ đến bệnh viện lập tức.,"Khi trẻ bị kéo cổ vào sau khi bị đổi tư thế hoặc đánh thức, trẻ sẽ cảm thấy thoải mái và dễ chịu hơn.",1,0.16666666666666666,8,25,3.124999999609375
